order_num,order_type,cust_name,cust_state,prod_category,prod_number,prod_name,quantity,price,discount,order_total
1100934,Wholesale,Gusikowski Group,North Carolina,Blueprints,BP102,Bsquare Robot Blueprint,10,8.99,1.80,88.10
1100935,Retail,Spencer Educators,Delaware,Drone Kits,DK204,BYOD-300,2,89.00,0.00,178.00
1100936,Wholesale,Schinner Inc.,Florida,Training Videos,TV801,Aerial Security,10,36.99,7.40,362.50
1100937,Retail,Saxon Laviss,Virginia,Robot Kits,RK602,BYOR-1000,1,189.00,0.00,189.00
1100938,Retail,Wilderman Technologies,Texas,eBooks,EB502,Building Your First Robot,4,24.95,0.00,99.80
1100939,Wholesale,Turcotte Corp,New York,Drones,DS302,DC-304 Drone,79,395.00,79.00,31126.00
1100940,Retail,Kovacek Bernhard,Texas,Training Videos,TV803,Cloud Computing,1,29.99,0.00,29.99
1100941,Retail,Antonina Noton,Missouri,Drones,DS306,DX-145 Drone,2,250.00,0.00,500.00
1100942,Retail,Frederik Pantecost,Louisiana,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1100943,Wholesale,Hettinger and Sons,West Virginia,Blueprints,BP104,Cat Robot Blueprint,6,4.99,1.00,28.94
1100944,Retail,Phylis Barrabeale,Texas,Training Videos,TV812,Understanding Raspberry PI,1,28.99,0.00,28.99
1100945,Wholesale,Marvin Inc.,Kansas,Training Videos,TV802,AI for Educators,5,49.95,9.99,239.76
1100946,Wholesale,Jacobi LLC,Arizona,eBooks,EB509,GPS Drones,7,19.99,4.00,135.93
1100947,Retail,Elton Sexon,Colorado,Training Videos,TV811,Understanding Drone Regulations,1,27.50,0.00,27.50
1100948,Retail,Ewan Ladd,Ohio,Training Videos,TV810,Understanding Automation,1,44.95,0.00,44.95
1100949,Retail,Justine Trengrouse,Florida,eBooks,EB507,Drone Building Essentials,1,13.99,0.00,13.99
1100950,Retail,Cristian Iston,New York,Robot Kits,RK603,BYOR-1500,1,189.00,0.00,189.00
1100951,Wholesale,Treutel Group,New York,Drone Kits,DK209,BYOD-550,27,179.00,35.80,4797.20
1100952,Wholesale,Oberbrunner Inc.,Alabama,eBooks,EB521,Understanding Artificial Intelligence,5,19.50,3.90,93.60
1100953,Wholesale,Clever Industries,Utah,Drone Kits,DK209,BYOD-550,5,179.00,35.80,859.20
1100954,Wholesale,Nikolaus LLC,Virginia,Blueprints,BP106,Hexacopter Drone Blueprint,7,8.99,1.80,61.13
1100955,Wholesale,Wyman Institute,Georgia,Blueprints,BP108,Panda Robot Blueprint,5,7.99,1.60,38.35
1100956,Retail,Iseabal Vevers,Maryland,Training Videos,TV811,Understanding Drone Regulations,1,27.50,0.00,27.50
1100957,Retail,Morgan Kassman,South Carolina,Robots,RS707,RXW-9807 Robot,1,599.00,0.00,599.00
1100958,Wholesale,Bednar IT Inc.,North Carolina,Drone Kits,DK201,BYOD-100,9,54.00,10.80,475.20
1100959,Wholesale,Johnson LLC,New Jersey,Training Videos,TV806,Mapping with Drones,12,49.00,9.80,578.20
1100960,Wholesale,Frami LLC,Louisiana,Drone Kits,DK206,BYOD-400,92,119.00,23.80,10924.20
1100961,Retail,Chrystel Tozer,Utah,Training Videos,TV810,Understanding Automation,1,44.95,0.00,44.95
1100962,Wholesale,Abshire Inc.,Oklahoma,Drone Kits,DK204,BYOD-300,6,89.00,17.80,516.20
1100963,Wholesale,Stehr Group,North Carolina,Drones,DS301,DA-SA702 Drone,3,399.00,79.80,1117.20
1100964,Retail,Godfry Dancy,Florida,eBooks,EB514,Polar Robots,1,23.99,0.00,23.99
1100965,Retail,Gwendolyn Tromp,Indiana,Drone Kits,DK204,BYOD-300,3,89.00,0.00,267.00
1100966,Retail,Klarrisa Dunlap,Texas,eBooks,EB513,Photograph Drones,1,14.99,0.00,14.99
1100967,Retail,Karney Becks,Florida,Blueprints,BP101,All Eyes Drone Blueprint,1,9.99,0.00,9.99
1100968,Retail,Richy Dews,Pennsylvania,Robot Kits,RK606,BYOR-3535,1,225.00,0.00,225.00
1100969,Retail,Raimondo Goretti,Ohio,Drones,DS307,MICR-564K Drone,1,499.00,0.00,499.00
1100970,Retail,Rebeca Overington,Virginia,Blueprints,BP106,Hexacopter Drone Blueprint,1,8.99,0.00,8.99
1100971,Wholesale,Hettinger and Sons,West Virginia,Drones,DS306,DX-145 Drone,12,250.00,50.00,2950.00
1100972,Retail,Joya Mountstephen,Florida,Drone Kits,DK204,BYOD-300,1,89.00,0.00,89.00
1100973,Retail,Modesta Brissenden,New York,eBooks,EB521,Understanding Artificial Intelligence,1,19.50,0.00,19.50
1100974,Wholesale,Corkery International ,Utah,Drone Kits,DK204,BYOD-300,81,89.00,17.80,7191.20
1100975,Wholesale,Corkery International ,Utah,Drones,DS302,DC-304 Drone,3,395.00,79.00,1106.00
1100976,Wholesale,Feest Inc.,Indiana,Blueprints,BP101,All Eyes Drone Blueprint,7,9.99,2.00,67.93
1100977,Retail,Cordelia Aspland,California,eBooks,EB513,Photograph Drones,1,14.99,0.00,14.99
1100978,Wholesale,Daugherty Group,New Mexico,Robot Kits,RK605,BYOR-3000,9,214.00,42.80,1883.20
1100979,Retail,Geremy Krajcik,Hawaii,Robot Kits,RK606,BYOR-3535,1,225.00,0.00,225.00
1100980,Wholesale,Howe LLC,New Mexico,Blueprints,BP104,Cat Robot Blueprint,8,4.99,1.00,38.92
1100981,Wholesale,Schuppe Inc.,Alabama,eBooks,EB514,Polar Robots,12,23.99,4.80,283.08
1100982,Wholesale,Kiehn LLC,District of Columbia,Training Videos,TV808,Robotic Essentials,6,34.99,7.00,202.94
1100983,Retail,Legros Inc.,South Carolina,eBooks,EB514,Polar Robots,24,23.99,0.00,575.76
1100984,Wholesale,Kutch Inc.,Virginia,Training Videos,TV808,Robotic Essentials,10,34.99,7.00,342.90
1100985,Retail,Hazlett Berisford,Florida,Blueprints,BP107,Ladybug Robot Blueprint,1,12.00,0.00,12.00
1100986,Wholesale,Fahey Forever Inc..,California,Blueprints,BP107,Ladybug Robot Blueprint,11,12.00,2.40,129.60
1100987,Wholesale,Reilly LLC,Washington,Training Videos,TV806,Mapping with Drones,11,49.00,9.80,529.20
1100988,Wholesale,Beahan Inc.,Hawaii,eBooks,EB509,GPS Drones,11,19.99,4.00,215.89
1100989,Wholesale,Kassulke-Schneider,Tennessee,Training Videos,TV804,Drone Video Techniques,3,37.99,7.60,106.37
1100990,Retail,Ezekiel Sawney,New York,Blueprints,BP105,Creature Robot Arms Blueprint ,1,12.00,0.00,12.00
1100991,Retail,Harvey Gottlieb,Texas,Training Videos,TV813,Virtual Reality Basics,1,29.99,0.00,29.99
1100992,Retail,Todd Gleichner,District of Columbia,Robot Kits,RK603,BYOR-1500,3,189.00,0.00,567.00
